"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006882","intracellular zinc ion homeostasis","6/105","36/18870",4.37057686410035e-08,0.000102490027463153,8.86997073051102e-05,"SLC39A4/SLC1A1/MT1E/MT1M/MT1G/MT1H",6
"GO:0010273","detoxification of copper ion","4/105","16/18870",1.5646981786142e-06,0.00122307240961677,0.00105850459240989,"MT1E/MT1M/MT1G/MT1H",4
"GO:1990169","stress response to copper ion","4/105","16/18870",1.5646981786142e-06,0.00122307240961677,0.00105850459240989,"MT1E/MT1M/MT1G/MT1H",4
"GO:0061687","detoxification of inorganic compound","4/105","22/18870",6.12931100678845e-06,0.00287464686218378,0.00248785507812382,"MT1E/MT1M/MT1G/MT1H",4
"GO:0071294","cellular response to zinc ion","4/105","24/18870",8.82772072879931e-06,0.0034501675181724,0.00298593781844299,"MT1E/MT1M/MT1G/MT1H",4
"GO:0042060","wound healing","11/105","423/18870",2.37349267423637e-05,0.00695730040135536,0.00602117615253648,"CCN1/S100A10/TFPI/EDN1/CLDN4/SERPINE1/CAV1/ANXA1/AHNAK/TPM1/PROCR",11
"GO:0001765","membrane raft assembly","3/105","11/18870",2.67419099034806e-05,0.00696775319151801,0.00603022249051587,"S100A10/CAV2/CAV1",3
"GO:1903034","regulation of response to wounding","7/105","173/18870",5.15846851362647e-05,0.00972432861996456,0.00841589297690121,"TFPI/SPP1/EDN1/CLDN4/SERPINE1/CAV1/ANXA1",7
"GO:0050818","regulation of coagulation","5/105","73/18870",5.39088580211255e-05,0.00972432861996456,0.00841589297690121,"TFPI/EDN1/SERPINE1/CAV1/PROCR",5
"GO:0060537","muscle tissue development","10/105","433/18870",0.000150906353719118,0.0221172124669583,0.0191412796033197,"COL11A1/ATF3/ACTA1/EDN1/MYL7/CAV2/CAV1/NOX4/BMP4/TPM1",10
"GO:0010043","response to zinc ion","4/105","51/18870",0.000184989647299343,0.0255176895833506,0.0220842130026708,"MT1E/MT1M/MT1G/MT1H",4
"GO:0046686","response to cadmium ion","4/105","59/18870",0.00032561659825645,0.0381785461455688,0.0330415158651808,"MT1E/MT1M/MT1G/MT1H",4
"GO:0062197","cellular response to chemical stress","8/105","317/18870",0.000394661217080478,0.0422694242357063,0.036581954854199,"PRKAA2/CRYGD/EDN1/MAPK13/CAV1/SLC1A1/ANXA1/TPM1",8
"GO:0031579","membrane raft organization","3/105","26/18870",0.000396557498160145,0.0422694242357063,0.036581954854199,"S100A10/CAV2/CAV1",3
"GO:0010460","positive regulation of heart rate","3/105","27/18870",0.000444327941590583,0.0453021314360833,0.0392066028094574,"EDN1/SLC1A1/TPM1",3
"GO:0045606","positive regulation of epidermal cell differentiation","3/105","28/18870",0.000495640744793694,0.0453433229482429,0.0392422518883234,"KDF1/BMP4/OVOL2",3
"GO:2000647","negative regulation of stem cell proliferation","3/105","28/18870",0.000495640744793694,0.0453433229482429,0.0392422518883234,"KDF1/IRF6/OVOL2",3
"GO:0048545","response to steroid hormone","8/105","330/18870",0.000514853919312355,0.0453433229482429,0.0392422518883234,"ACTA1/TFPI/ANXA3/SPP1/EDN1/CLDN4/CAV1/ANXA1",8
"GO:0003015","heart process","7/105","255/18870",0.000559959728659173,0.0453433229482429,0.0392422518883234,"EDN1/TRDN/MYL7/CAV1/SLC1A1/NOX4/TPM1",7
"GO:0030193","regulation of blood coagulation","4/105","68/18870",0.000560748983155243,0.0453433229482429,0.0392422518883234,"TFPI/EDN1/SERPINE1/CAV1",4
"GO:1900046","regulation of hemostasis","4/105","70/18870",0.000625985743059885,0.0489312189158477,0.0423473864077003,"TFPI/EDN1/SERPINE1/CAV1",4
"GO:0002548","monocyte chemotaxis","4/105","71/18870",0.000660543553787602,0.0499669236655461,0.0432437341834464,"CCL26/SERPINE1/ANXA1/LGALS3",4
