"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0040029","epigenetic regulation of gene expression",211,-0.482013762462544,-2.21696393389036,1e-10,1.0025e-07,8.41052631578947e-08,4328,"tags=49%, list=22%, signal=39%","6839/28996/54934/3784/7022/53615/5925/22933/6598/10943/8467/91746/22955/23512/8355/55051/64783/63978/55729/221656/5927/55183/5987/144108/2145/57379/1642/9463/5253/8473/9425/54107/2146/58487/10984/10322/25942/5929/3720/284058/10013/23133/56848/29117/8358/79723/11177/1788/8085/10155/83989/112869/55683/11143/51548/1859/8289/339287/84444/27005/64855/9759/80314/10365/4297/63925/55506/9320/55167/84823/3192/9555/10014/1786/8312/353274/29890/4692/23028/10432/4001/6597/6602/4221/2033/8545/57492/8932/10664/57673/29128/10336/84656/7157/11091/546/1386/22893/1028/7874/140690/8091/3054"
"GO:0006325","chromatin organization",724,-0.396399763714198,-2.05937375467083,1e-10,1.0025e-07,8.41052631578947e-08,4279,"tags=39%, list=22%, signal=31%","4675/6419/10474/54934/3784/56970/7022/53615/64863/8341/5925/9757/5933/22933/6598/10943/64426/6046/65980/125476/55719/8467/91746/26039/10362/2074/1106/22955/8986/23512/10725/83746/84250/7862/8355/55051/64783/25895/23140/63978/54904/84181/83933/8294/84678/8193/64710/84787/9275/55729/3662/5931/23270/221656/3010/5927/55183/26097/51322/5987/128854/144108/57680/6599/83743/2145/57379/5252/51460/65990/1663/1642/23137/196528/9463/9675/8347/3008/387893/5253/22976/9849/23186/63035/80853/1911/196483/56950/55929/55689/8473/9425/54107/2146/6662/4524/58487/54108/4615/158880/55677/10984/54617/10322/9733/85453/56341/10428/25942/5929/23081/3720/284058/6604/10013/23133/56848/27443/10765/29117/1105/8343/55636/8358/79723/8335/23410/11177/5578/257218/29998/1788/3151/8085/55869/10155/4288/83989/9252/112869/57602/22992/9130/6294/8363/6015/10498/57798/51341/57325/9678/6885/55683/9416/11143/55723/29086/64061/9324/3009/51548/3159/1859/8289/8648/339287/84444/27005/4798/322/64855/9759/5970/8367/80314/29072/10365/79903/23476/57459/10600/4297/63925/2186/25836/55506/10919/9320/55167/1387/84823/4300/5978/8284/1108/7468/10036/3192/55904/605/9555/84717/51773/6830/4796/10014/1786/8312/55209/8348/6591/353274/79885/29890/55193/8359/4692/6421/10075/9682/8364/55213/58508/23067/23028/23466/10432/4001/79718/23774/5187/6597/51780/54815/6602/79829/4221/6304/2033/7917/58499/8545/57492/84733/8932/7528/10664/6749/57673/6605/171023/29128/4302/6886/10336/84656/7157/10320/23522/11091/546/1386/22893/1028/8864/50809/8345/197370/7874/473/148479/3014/1107/140690/8091/7994/3054/51317/9031/6656"
"GO:0006338","chromatin remodeling",589,-0.400159744225283,-2.04433277501762,1e-10,1.0025e-07,8.41052631578947e-08,4948,"tags=45%, list=25%, signal=35%","5928/55274/7799/1025/54496/8362/10629/51742/5290/9730/4676/6733/23523/2648/1017/64324/7703/8339/7259/4171/4678/54821/9575/653604/672/2491/221037/6839/28996/4675/6419/54934/3784/7022/53615/8341/5925/9757/22933/6598/10943/64426/6046/65980/125476/8467/91746/2074/1106/22955/8986/23512/10725/7862/8355/55051/64783/25895/63978/54904/84181/83933/8294/84678/8193/84787/9275/55729/3662/5931/23270/221656/3010/5927/55183/26097/51322/5987/128854/144108/57680/6599/83743/2145/57379/5252/65990/1642/196528/9463/9675/8347/3008/387893/5253/22976/80853/1911/196483/56950/55929/55689/8473/9425/54107/2146/6662/4524/58487/54108/4615/158880/55677/10984/54617/10322/9733/85453/56341/10428/25942/5929/23081/3720/284058/6604/10013/23133/56848/27443/10765/29117/1105/8343/55636/8358/79723/23410/11177/5578/257218/29998/1788/8085/55869/10155/83989/9252/112869/22992/8363/6015/10498/57798/51341/57325/6885/55683/9416/11143/55723/29086/64061/3009/51548/3159/1859/8289/8648/339287/84444/27005/4798/64855/9759/8367/80314/29072/10365/79903/57459/10600/4297/63925/2186/25836/55506/10919/9320/55167/1387/84823/5978/8284/1108/7468/10036/3192/605/9555/84717/51773/6830/10014/1786/8312/55209/8348/353274/79885/29890/55193/8359/4692/6421/10075/9682/8364/58508/23067/23028/10432/4001/23774/5187/6597/51780/54815/6602/79829/4221/6304/2033/8545/57492/8932/7528/10664/6749/57673/6605/29128/10336/84656/7157/23522/11091/546/1386/22893/1028/8864/50809/8345/7874/473/3014/1107/140690/8091/7994/3054/9031"
"GO:0060322","head development",691,-0.357055159256056,-1.8481447709159,1e-10,1.0025e-07,8.41052631578947e-08,3726,"tags=33%, list=19%, signal=27%","333/136319/1600/5089/23767/5087/7337/139411/388677/9928/6714/4851/1496/56006/2629/259266/285025/84678/8829/357/8482/8877/3211/5931/6092/4211/23380/79633/2263/538/4212/7248/3091/80031/1398/9241/6867/25/57680/5198/23114/2145/673/8828/54541/28964/7533/2254/5361/83538/102724560/655/55582/1869/5605/6513/80853/51150/80184/55558/2146/85358/6662/477/1063/5463/57178/1638/6240/10460/2045/3280/342371/4192/8321/25942/22943/25987/55219/23287/23133/2316/56848/1952/51434/55636/4142/5594/596/5663/23152/2177/25861/83696/153241/6497/8650/642658/9215/8443/2737/5992/6585/6722/5629/2909/51506/9919/23291/8851/653/5727/55236/2131/8633/22903/79969/54910/8648/6387/84197/8704/89927/7474/4669/8879/6491/57447/79925/5591/29072/63925/2186/25836/64398/55506/6751/166378/2534/2932/347902/6414/85458/51124/57477/5108/2049/55681/3184/84879/613/29123/57502/8455/25809/8312/5453/482/558/6608/7301/4854/221692/23028/1267/8861/1282/23654/5090/22803/1454/10579/113246/26050/3340/23513/1399/340719/79143/2033/7917/374946/2258/8322/5454/26468/7157/79971/55624/546/1386/55755/8382/10642/7155/4313/1499/1021/64220/55054/26153/1453/473/9513/9612/27148/3014/9935/27023/22809/3167/28982/23648/9353/9638/80709/6299/1000/6422/90780/6935/153090/6656/2637/340784"
"GO:0007420","brain development",643,-0.357480097623234,-1.84422740143085,1e-10,1.0025e-07,8.41052631578947e-08,3726,"tags=33%, list=19%, signal=28%","333/136319/1600/5089/5087/7337/139411/388677/9928/6714/4851/1496/56006/2629/259266/285025/84678/8829/357/8482/8877/3211/5931/6092/4211/23380/79633/2263/538/4212/7248/3091/80031/1398/9241/6867/25/57680/23114/2145/8828/54541/28964/7533/2254/5361/83538/102724560/655/55582/1869/6513/80853/51150/80184/55558/2146/85358/477/1063/5463/57178/1638/6240/10460/2045/3280/342371/4192/8321/25942/22943/25987/55219/23287/23133/2316/56848/1952/51434/55636/4142/596/5663/23152/2177/25861/83696/153241/6497/8650/9215/8443/2737/5992/6585/6722/5629/2909/51506/9919/23291/8851/653/5727/55236/2131/8633/22903/79969/54910/8648/6387/84197/8704/89927/7474/4669/6491/57447/79925/5591/29072/63925/2186/25836/64398/55506/6751/166378/2534/2932/347902/6414/85458/51124/57477/5108/2049/55681/3184/84879/613/57502/8455/25809/5453/482/558/6608/7301/4854/221692/23028/1267/8861/1282/23654/5090/22803/1454/10579/113246/26050/3340/23513/1399/340719/79143/7917/374946/2258/8322/5454/26468/7157/79971/55624/546/1386/55755/8382/10642/7155/1499/1021/55054/26153/1453/473/9513/9612/27148/3014/9935/27023/22809/3167/23648/9353/9638/80709/6299/1000/6422/90780/6935/153090/6656/2637/340784"
"GO:0051093","negative regulation of developmental process",778,-0.329029710847509,-1.72676015327687,1e-10,1.0025e-07,8.41052631578947e-08,4167,"tags=33%, list=21%, signal=27%","4139/2200/493/583/5925/9693/22933/11061/6405/8838/64426/10509/627/65980/576/6423/28959/1840/6860/1285/6789/55897/23512/6772/641700/1600/5087/64783/399473/9150/79084/25937/2043/10766/22882/30812/4851/4091/94/9518/8294/25817/6988/259266/8829/8482/10527/205717/23461/25871/9275/5931/84312/6092/4211/11173/4133/4152/8848/4212/116443/3091/26057/80031/4092/9241/6788/80349/6599/2664/4077/51460/5371/1642/407975/4099/7533/2254/7442/3707/382/655/51738/1869/4054/1949/5295/100507043/7046/8473/29924/55558/2146/6662/9573/6049/6774/56834/11007/25920/9655/2045/3280/4192/25942/22943/79647/25987/3635/8646/3720/7428/10013/79595/2202/54756/5515/80014/8819/51684/85407/5594/5196/1969/596/56478/29998/5663/406919/8835/1893/140685/6497/23240/10272/4137/6558/8363/598/10498/2737/199699/811/6585/5629/9678/283659/653/5727/6498/4320/4804/8621/11117/10370/23213/144347/147906/393/54910/579/575/9706/7474/81559/64855/9759/8367/348093/9860/6522/10365/5783/140862/2137/55810/6777/27031/2932/85458/5978/1870/5108/10413/3192/613/605/57609/5600/9475/10014/1786/23532/8312/5725/6591/5071/8359/26523/3399/10075/9682/8364/6608/1289/4854/2303/8861/7075/2969/10401/1071/6597/10468/10253/6602/4221/1290/6664/25805/3949/7528/374946/171023/2258/142/7157/8831/55796/4038/1386/51621/55755/4756/3566/1499/1021/10220/6431/5167/1471/50807/1284/9921/4088/9935/7070/6910/5530/182/3488/28951/54437/6422/284273/6935/153090/4881/8324"
"GO:0002181","cytoplasmic translation",154,0.534256686354927,2.27807728546617,2.62981223479515e-10,1.97603509346222e-07,1.6578050029414e-07,3658,"tags=55%, list=18%, signal=45%","200916/6155/6170/6188/6144/6133/6136/6229/6189/8894/3646/6164/6233/6208/6230/6129/6201/6235/6138/6156/23057/6165/25873/6194/11224/6222/4736/8664/6169/24140/6227/6125/6122/6160/6132/6171/8667/6152/6168/6202/6231/6157/56339/6301/255308/6207/6232/6161/1819/6193/10480/6128/6217/1939/7555/6234/4733/8668/8562/8891/6223/6175/1968/6142/6167/6187/6205/6224/6154/51389/6143/6141/6135/6130/10605/6176/2107/16/6137/6124/6228/8666/6206/54505"
"GO:0048858","cell projection morphogenesis",599,-0.347205022231475,-1.77938662947693,2.69449622730311e-10,1.97603509346222e-07,1.6578050029414e-07,4280,"tags=36%, list=22%, signal=29%","22902/91653/4882/5604/2042/57465/3730/1856/1948/23316/23077/5590/9585/3480/9693/55619/6405/6654/50944/10509/627/5879/26039/7846/6860/220202/333/1600/118813/4744/6683/23767/8936/2043/6285/27067/3908/6714/1009/4851/9024/1496/151835/6812/23098/8829/8482/57699/57175/23499/6092/23380/4133/2263/538/7162/80243/8506/1982/23181/23011/80031/8239/9241/8874/25/23114/2664/673/8828/51225/4099/7533/5361/8499/6477/158866/655/5605/1949/100507043/5532/55558/85358/6049/10152/4076/1889/6239/2045/2596/8904/4192/3792/25942/25987/79006/10013/1952/11178/3799/4650/596/55107/55740/5663/23426/57498/9252/8650/23768/11252/4137/81628/28988/5364/23025/2737/6585/6722/2909/8851/5727/6498/4804/9820/9331/1072/2131/23129/8633/22903/393/54910/10163/51177/84628/4130/9962/575/6387/9706/23542/7474/322/64855/63925/22865/56288/2534/2932/1785/5747/4858/10160/2049/9344/56965/84879/57609/1857/91624/1946/5071/4692/3913/6608/4854/221692/5818/1002/1267/5803/23654/113246/26050/1627/4343/57154/54915/23237/374946/2115/10090/3897/2258/8322/5454/6324/8831/4038/10642/54413/7155/4756/1954/1499/51299/473/4131/7070/27023/5530/9353/9638/57611/1000/23394/54437/55701/150465/153090/1947/2637"
"GO:0120039","plasma membrane bounded cell projection morphogenesis",594,-0.345070203449234,-1.76922944747286,2.95666098772402e-10,1.97603509346222e-07,1.6578050029414e-07,4280,"tags=36%, list=22%, signal=29%","22902/91653/4882/5604/2042/57465/3730/1856/1948/23316/23077/5590/9585/3480/9693/55619/6405/6654/50944/10509/627/5879/26039/7846/6860/220202/333/1600/118813/4744/6683/23767/8936/2043/6285/27067/3908/6714/1009/4851/9024/1496/151835/6812/23098/8829/8482/57699/57175/23499/6092/23380/4133/2263/538/7162/80243/8506/1982/23181/23011/80031/8239/9241/8874/25/23114/2664/673/8828/51225/4099/7533/5361/8499/6477/158866/655/5605/1949/100507043/5532/55558/85358/6049/10152/4076/1889/6239/2045/2596/8904/3792/25942/25987/79006/10013/1952/11178/3799/4650/596/55740/5663/23426/57498/9252/8650/23768/4137/81628/28988/5364/23025/2737/6585/6722/2909/8851/5727/6498/4804/9820/9331/1072/2131/23129/8633/22903/393/54910/10163/51177/84628/4130/9962/575/6387/9706/23542/7474/322/64855/63925/22865/56288/2534/2932/1785/5747/4858/10160/2049/9344/56965/84879/57609/1857/91624/1946/5071/4692/3913/6608/4854/221692/5818/1002/1267/5803/23654/113246/26050/1627/4343/57154/54915/23237/374946/2115/10090/3897/2258/8322/5454/6324/8831/4038/10642/54413/7155/4756/1954/1499/51299/473/4131/7070/27023/5530/9353/9638/57611/1000/23394/54437/55701/150465/153090/1947/2637"
"GO:0198738","cell-cell signaling by wnt",414,-0.376094853903488,-1.8586112051091,6.94658994106610e-10,4.08919677739159e-07,3.43065307797441e-07,2880,"tags=28%, list=15%, signal=24%","9241/6788/80349/25/57680/57216/1642/2869/2254/151195/6477/3728/23168/29969/1951/4188/139285/6662/5868/55031/6801/4192/8321/5518/22943/25987/2887/1952/7249/5515/29117/55593/85407/25960/5663/6468/6497/23240/324/2737/9679/90268/23291/6382/51741/3485/388630/27122/147495/2131/23213/7415/147906/7474/4163/57447/7089/1452/57664/331/27031/2932/85458/4300/10413/55681/65125/23002/9736/607/8312/1857/6591/5071/9368/81029/3489/25930/8861/51704/79718/1454/6597/9839/9580/1654/57154/55182/3487/7088/25805/8932/374946/8322/8658/267/79971/3836/4038/1499/152573/6934/1453/898/4088/9968/7091/4035/219287/6299/1000/23394/6422/90780/153090/8324"
