baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensembl_gene_id,gene_name,NAME,GENE FAMILY,MOLECULAR TYPE,LOCATION
315.7065162,1.071295498,0.118797399,9.017836324,1.91840675984096e-19,1.87017253273639e-16,ENSG00000132698,RAB25,"RAB25, member RAS oncogene family","RAB, member RAS oncogene GTPases",None,1q22
1380.703999,0.745913431,0.093532535,7.974908719,1.52493483391505e-15,1.09538476911961e-12,ENSG00000118640,VAMP8,vesicle associated membrane protein 8,Vesicle associated membrane proteins,transporter,2p11.2
1597.196093,0.811597684,0.139406546,5.821804685,5.82155586789824e-09,1.30250154893566e-06,ENSG00000120885,CLU,clusterin,Complement system regulators and receptors|MicroRNA protein coding host genes,None,8p21.1
99.10942918,0.791172363,0.171915789,4.602092511,4.18267334157249e-06,0.000404859,ENSG00000123240,OPTN,optineurin,None,other,10p13
230.403285,0.575539531,0.127396694,4.517695953,6.25161651614945e-06,0.000584398,ENSG00000139112,GABARAPL1,GABA type A receptor associated protein like 1,Autophagy related,other,12p13.2
29.91200334,-1.154658358,0.271822655,-4.2478371,2.15844242832508e-05,0.001649377,ENSG00000136848,DAB2IP,DAB2 interacting protein,C2 and RasGAP domain containing,None,9q33.2
939.1586594,0.399729304,0.104440378,3.827344461,0.000129533,0.006747591,ENSG00000176171,BNIP3,BCL2 interacting protein 3,BCL2 homology region 3 (BH3) only,other,10q26.3
27.34305043,-0.982660051,0.261243561,-3.761470889,0.000168917,0.008383201,ENSG00000128052,KDR,kinase insert domain receptor,Receptor tyrosine kinases|CD molecules|I-set domain containing|V-set domain containing,kinase,4q12
205.0465238,-0.399445345,0.107052087,-3.731317675,0.000190481,0.009026676,ENSG00000116688,MFN2,mitofusin 2,None,enzyme,1p36.22
31.22369667,1.313733938,0.370552308,3.545340049,0.000392107,0.015693474,ENSG00000278910,BANCR,BRAF-activated non-protein coding RNA,Long non-coding RNAs with non-systematic symbols,None,9q21.11-q21.12
19.29619325,1.229985724,0.353839611,3.476110891,0.000508742,0.018917346,ENSG00000152137,HSPB8,heat shock protein family B (small) member 8,Small heat shock proteins,kinase,12q24.23
13.83709729,1.26628464,0.392386332,3.227137479,0.001250354,0.036071034,ENSG00000162409,PRKAA2,protein kinase AMP-activated catalytic subunit alpha 2,Protein kinase AMP-activated catalytic subunit alphas,kinase,1p32.2
5.440279321,1.949092718,0.619621297,3.145619314,0.001657356,0.044006988,ENSG00000102445,RUBCNL,rubicon like autophagy enhancer,PIK3C3 complex subunits,None,13q14.13
431.8591382,0.33189327,0.107947676,3.074575414,0.002108024,0.051814156,ENSG00000123595,RAB9A,"RAB9A, member RAS oncogene family","RAB, member RAS oncogene GTPases",None,Xp22.2
77.851236,-0.513524487,0.168522295,-3.047219883,0.002309687,0.054917433,ENSG00000085978,ATG16L1,autophagy related 16 like 1,WD repeat domain containing|Autophagy related,enzyme,2q37.1
12.02017571,-1.155031018,0.379703473,-3.041929031,0.002350673,0.05547025,ENSG00000100299,ARSA,arylsulfatase A,Sulfatases,enzyme,22q13.33
886.8032931,0.510044655,0.167806462,3.039481612,0.002369857,0.055573547,ENSG00000164305,CASP3,caspase 3,Caspases|Small nucleolar RNA protein coding host genes,peptidase,4q35.1
169.3634098,-0.429064446,0.142780117,-3.005071406,0.002655185,0.060598605,ENSG00000108946,PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,Protein kinase A subunits,kinase,17q24.2
15.28217759,-1.100402514,0.372813548,-2.951616218,0.003161156,0.068302567,ENSG00000109339,MAPK10,mitogen-activated protein kinase 10,Mitogen-activated protein kinases|MicroRNA protein coding host genes,kinase,4q21.3
247.1836696,0.338752604,0.123056383,2.752824322,0.005908359,0.100545245,ENSG00000083937,CHMP2B,charged multivesicular body protein 2B,Charged multivesicular body proteins|ESCRT-III,other,3p11.2
264.4250052,-0.308281575,0.114695474,-2.68782686,0.007191868,0.113144554,ENSG00000141510,TP53,tumor protein p53,None,transcription regulator,17p13.1
1233.125138,-0.25038882,0.094319504,-2.654687636,0.007938188,0.11905537,ENSG00000143799,PARP1,poly(ADP-ribose) polymerase 1,Zinc fingers PARP-type|Poly(ADP-ribose) polymerases,enzyme,1q42.12
439.0999324,-0.340083504,0.129873852,-2.618567926,0.008829971,0.126454821,ENSG00000126247,CAPNS1,calpain small subunit 1,EF-hand domain containing,peptidase,19q13.12
88.848943,-0.388155815,0.151169591,-2.567684499,0.010238029,0.137537626,ENSG00000147649,MTDH,metadherin,None,transcription regulator,8q22.1
152.270958,0.319206148,0.12766368,2.50036775,0.012406445,0.15309923,ENSG00000162627,SNX7,sorting nexin 7,Sorting nexins|PX-BAR domain containing,None,1p21.3
